ID_PODA,FECHA DE ATENCION ,COLONIA ,CALLE,NUMERO ,FOLIO ,ESPECIE,ACLAREO PZA,DESCHUPONEO PZA,ELEVACION DE COPA PZA,LIB  DE CAMARAS PZA,LIB  DE FACHADA PZA,LIB  DE LINEAS ELECTRICAS Y AEREAS PZA,LIB  DE LUMINARIAS PZA,VELA,FACHADA,POSTE,LIB  DE SEMAFOROS PZA,LIB  DE SENALAMIENTOS PZA,LIMPIEZA DE COPA PZA,PODA DE FORMACION RESTAURACION DE COPA PZA,PODA ESTETICA O TOPIARIA PZA,PODA DE MUERDAGO PZA,PODA DE HENO MOTITA PZA,REDUCCIÓN DE COPA PZA,TOTAL,LATITUD ,LONGITUD ,FUENTE DE INFORMACION 
177,25/06/2027,LOMAS DE BEZARES,CDA LOMITA,VARIOS NUMEROS,SIN FOLIO,PODA DE 5 ARBOLES,,,5,,,,,,,,,,,,,,,,5,19.3886137,-99.24536955,JUD JARDINERIA
178,25/06/2028,LOMAS DE BEZARES,CDA TIRO AL PICHON,VARIOS NUMEROS,SIN FOLIO,PODA DE 11 ARBOLES Y DERRIBO DE 2 ARBOLES NO ESPECIFICAN ESPECIES,,,6,,,,,,,,,,5,,,,,,11,19.39109094,-99.24551793,JUD JARDINERIA
179,25/06/2029,LOMAS DE BEZARES,LADERA,VARIOS NUMEROS,SIN FOLIO,PODA DE 5 ARBOLES,,,5,,,,,,,,,,,,,,,,5,19.3913599,-99.24411755,JUD JARDINERIA
180,25/06/1930,POPOTLA,POCITO,4 ESQUINA,18674,SE TRABAJA ARBOL DEL PREDIO 4C Y SE REALIZA PODA DE 1 FRESNO EN EL  PREDIO 4 SOLICITAN QUITARLE ALTURA DESMOCHE SE PROCEDE CON SOLICITAR DICTAMEN,,,,,,,,,,,,,1,,,,,,1,19.45166055,-99.18349969,EMPRESA KAAB
181,25/07/2001,POPOTLA,POCITO,16,19129,PODA DE 1 COLORIN Y 1 FRESNO,,,,,,,,,,,,,2,,,,,,2,19.4519986,-99.1834165,EMPRESA KAAB
182,25/07/2002,POPOTLA,POCITO,35,19663,PODA DE 1 COLORIN,,,,,,,,,,,,,1,,,,,,1,19.45259723,-99.18306667,EMPRESA KAAB
183,25/07/2003,POPOTLA,POCITO,11,24318,PODA DE 1 FICUS,,,,,,,,,,,,,1,,,,,,1,19.45181075,-99.18324345,EMPRESA KAAB
184,25/07/2004,SAN DIEGO OCOYOACAC,CANITO,132,SIN FOLIO,PODA DE 1 FICUS,,,,,1,,,,,,,,,,,,,,1,19.4639481,-99.1940262,JUD JARDINERIA
185,25/07/2005,TACUBAYA,ARQ CARLOS LAZO,TODA LA CALLE,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,32,,,,32,19.4025356,-99.19083863,JUD JARDINERIA
186,25/07/2006,POPOTLA,POCITO,124,11571,PODA DE 1 TULIPAN AFRICANO,,,,,,,,,,,,,1,,,,,,1,19.45486617,-99.18303043,EMPRESA KAAB
187,25/07/2007,POPOTLA,POCITO,61,19599,PODA DE 2 FICUS,,,,,,,,,,,,,2,,,,,,2,19.45308838,-99.18307947,EMPRESA KAAB
188,25/07/2008,POPOTLA,POCITO,71,19678,PODA DE 1 FICUS,,,,,,,,,,,,,1,,,,,,1,19.45328748,-99.18292545,EMPRESA KAAB
189,25/07/2009,POPOTLA,POCITO,112,19724,PODA DE 2 FICUS Y 1 FRESNO,,,,,,,,,,,,,3,,,,,,3,19.45440297,-99.18309063,EMPRESA KAAB
190,25/07/2010,POPOTLA,POCITO,107,19742,PODA DE 2 FICUS,,,,,,,,,,,,,2,,,,,,2,19.4543157,-99.18286483,EMPRESA KAAB
191,25/07/2011,POPOTLA,POCITO,43,19743,PODA DE 1 FRESNO,,,,,,,,,,,,,1,,,,,,1,19.45265018,-99.18324513,EMPRESA KAAB
192,25/07/2012,POPOTLA,MAR TIRRENO,11,31261,PODA DE 1 PIRUL BRASILENO,,,,,,,,,,,,,1,,,,,,1,19.45220945,-99.18386059,EMPRESA KAAB
193,25/07/2013,LOMAS DE CHAPULTEPEC III SECCION,MONTE ALTAI,114,1647,PODA DE 1 LAUREL DE LA INDIA,1,,,,,,,,,,,,,,,,,,1,19.42735926,-99.2104375,JUD JARDINERIA
194,25/07/2014,POLANCO,AV CAMPOS ELISEOS,CAMELLON,SIN FOLIO,BARRIDO PAPELEO Y LIMIPIEZA DE PALMERA,,,,,,,,,,,,,1,,,,,,1,19.42803878,-99.19342305,JUD JARDINERIA
195,25/07/2015,LOMAS DE CHAPULTEPEC II SECCION,SIERRA VENTANAS,455 CASI ESQUINA,SIN FOLIO,PODA DE 2 FRESNOS,,,2,,,,,,,,,,,,,,,,2,19.42027044,-99.22208246,JUD JARDINERIA
196,25/07/2016,REFORMA SOCIAL,AV TECAMACHALCO,PARQUE REFORMA SOCIAL,SIN FOLIO,PODA DE 7 ARBOLES NO ESPECIFICADOS,,,7,,,,,,,,,,,,,,,,7,19.42913408,-99.21893349,JUD JARDINERIA
197,25/07/2017,IRRIGACION,PRESA TESOYO,135,9730,PODA DE 1 LAUREL,1,,,,,,,,,,,,,,,,,,1,19.4433002,-99.2065193,JUD JARDINERIA
198,25/07/2018,POPOTLA,MAR DEL JAPON,19,16909,PODA DE 1 FRESNO 1 CASUARINA Y 3 FRESNOS,,,,,5,,,,,,,,,,,,,,5,19.45209438,-99.18095395,JUD JARDINERIA
199,25/07/2019,POPOTLA,POCITO,223 A,19063,PODA DE 1 FRESNO 1 CASUARINA Y 1 FICUS,,,,,,,,,,,,,3,,,,,,3,19.45708368,-99.1821204,EMPRESA KAAB
200,25/07/2020,POPOTLA,POCITO,137,19723,PODA DE 1 HULE,,,,,,,,,,,,,1,,,,,,1,19.45516251,-99.18273253,EMPRESA KAAB
201,25/07/2021,POPOTLA,POCITO,223 FTE GASOLINERA,20408,PODA DE 2 FRESNOS,,,,,,,,,,,,,2,,,,,,2,19.45708368,-99.1821204,EMPRESA KAAB
202,25/07/2022,TACUBAYA,GAVIOTA,TODA LA CALLE,SIN FOLIO,MANTENIMIENTO,,,,,,,,,,,,,,,12,,,,12,19.40154366,-99.19143688,JUD JARDINERIA
203,25/07/2023,POPOTLA,MAR DEL JAPON,19,16909,PODA DE RAMAS LATERALES DE 1 FRESNO 1 CASUARINA 3 TROENOS,,,5,,,,,,,,,,,,,,,,5,19.45206408,-99.18095393,JUD JARDINERIA
204,25/07/2024,POPOTLA,FERROCARRIL DE CUERNAVACA,34,18992,PODA DE 1 TROENO,,,,,,,,,,,,,1,,,,,,1,19.4509631,-99.17653949,EMPRESA KAAB
205,25/07/2025,POPOTLA,FERROCARRIL DE CUERNAVACA,30,21072,PODA DE 1 TROENO,,,,,,,,,,,,,1,,,,,,1,19.45097457,-99.17658592,EMPRESA KAAB
206,25/07/2026,POPOTLA,FERROCARRIL DE CUERNAVACA,28 Y 32,24348,PODA DE 2 NISPEROS Y 2 TROENOS,,,,,,,,,,,,,4,,,,,,4,19.450979,-99.1765681,EMPRESA KAAB
207,25/07/2027,POPOTLA,MAR NEGRO,17,28900,PODA DE 2 FICUS,,,,,,,,,,,,,2,,,,,,2,19.456555,-99.1881025,EMPRESA KAAB
208,25/07/2028,POPOTLA,FERROCARRIL DE CUERNAVACA,36,29452,PODA DE 1 TROENO,,,,,,,,,,,,,1,,,,,,1,19.451008,-99.17656459,EMPRESA KAAB
